ies|employer_name|position|salary_samples_amount|salary|avg_salary|min_salary|max_salary
UNA|Group Software|Suporte Técnico|16.0|1513.0|2000.0|1000.0|3000.0
UNA|Mastermaq Software|Suporte Técnico|7.0|1825.0|2500.0|2000.0|3000.0
UNA|TOTVS|Suporte Técnico|6.0|2224.0|2500.0|2000.0|3000.0
UNA|Otimiza UGC|Suporte Técnico|4.0|1521.0|1500.0|1000.0|2000.0
UNA|MaxCast Hospedagem|Suporte Técnico|4.0|1421.0|1500.0|1000.0|2000.0
UNA|Stefanini|Suporte Técnico|3.0|1486.0|1500.0|1000.0|2000.0
UNA|Algar Group|Suporte Técnico|2.0|1462.0|1500.0|1000.0|2000.0
UNA|AeC Consulting|Suporte Técnico|2.0|1603.0|1500.0|1000.0|2000.0
UNA|Minas Gerais Administração e Serviços (MGS)|Suporte Técnico|2.0|1439.0|1500.0|1000.0|2000.0
UNA|Centro Universitário de Belo Horizonte|Suporte Técnico|2.0|1443.0|1500.0|1000.0|2000.0
UNA|AIX Sistemas|Suporte Técnico|2.0|1761.0|2000.0|2000.0|2000.0
UNA|Otimiza|Suporte Técnico|2.0|1556.0|1500.0|1000.0|2000.0
UNA|Netscanner Soluções em Tecnologia|Suporte Técnico|2.0|1599.0|1500.0|1000.0|2000.0
UNA|Empresa Brasileira de Correios e Telegrafos - ECT|Suporte Técnico|1.0|3136.0|3000.0|3000.0|3000.0
UNA|AlmavivA|Suporte Técnico|1.0|1880.0|2000.0|2000.0|2000.0
UNA|Brazilian Institute of Geography and Statistics|Suporte Técnico|1.0|5858.0|6000.0|6000.0|6000.0
UNA|"""Grupo Máquina de Vendas (Insinuante, Ricardo Eletro, CityLar, Eletroshopping, Salfer)"""|Suporte Técnico|1.0|1767.0|2000.0|2000.0|2000.0
UNA|Telemont|Suporte Técnico|1.0|1172.0|1000.0|1000.0|1000.0
UNA|CEMIG|Suporte Técnico|1.0|1851.0|2000.0|2000.0|2000.0
UNA|CEMIG|Suporte Técnico|1.0|2357.0|2000.0|2000.0|2000.0
UNA|Tribunal de Justiça de Minas Gerais|Estagiário|96.0|1219.0|1414.0|828.0|2000.0
UNA|Vallourec|Estagiário|91.0|1699.0|1500.0|1000.0|2000.0
UNA|ArcelorMittal|Estagiário|69.0|1153.0|986.0|972.0|1000.0
UNA|CEMIG|Estagiário|63.0|1292.0|1335.0|670.0|2000.0
UNA|Mercantil do Brasil|Estagiário|55.0|2223.0|1500.0|1000.0|2000.0
UNA|Localiza|Estagiário|46.0|1697.0|1500.0|1000.0|2000.0
UNA|Banco Inter|Estagiário|45.0|2279.0|2000.0|2000.0|2000.0
UNA|Banco de Desenvolvimento de Minas Gerais (BDMG)|Estagiário|42.0|2274.0|2000.0|2000.0|2000.0
UNA|VLI|Estagiário|38.0|1195.0|1000.0|1000.0|1000.0
UNA|Prefeitura Municipal de Belo Horizonte|Estagiário|37.0|534.0|722.0|444.0|1000.0
