ies|employer_name|position|salary_samples_amount|salary|avg_salary|min_salary|max_salary
UNIMONTE|QuintoAndar|Analista de operações|27.0|2566.0|3500.0|2000.0|5000.0
UNIMONTE|Citicapital Commercial Corp|Analista de operações|17.0|4672.0|5000.0|3000.0|7000.0
UNIMONTE|Atento|Analista de operações|15.0|2053.0|2500.0|2000.0|3000.0
UNIMONTE|B2W Digital|Analista de operações|14.0|5207.0|5500.0|5000.0|6000.0
UNIMONTE|Qualicorp Administradora de Benefícios|Analista de operações|10.0|2811.0|3000.0|2000.0|4000.0
UNIMONTE|Interfile|Analista de operações|9.0|1351.0|1000.0|1000.0|1000.0
UNIMONTE|Itaú Unibanco (Itaú BBA e Rede)|Analista de operações|8.0|3416.0|3500.0|2000.0|5000.0
UNIMONTE|Santander|Analista de operações|7.0|4587.0|5500.0|4000.0|7000.0
UNIMONTE|UOL|Analista de operações|6.0|3803.0|3000.0|2000.0|4000.0
UNIMONTE|Banco Bradesco|Analista de operações|5.0|3704.0|3500.0|3000.0|4000.0
UNIMONTE|BTG Pactual|Analista de operações|4.0|6469.0|6500.0|6000.0|7000.0
UNIMONTE|Banco Original|Analista de operações|4.0|2744.0|3500.0|3000.0|4000.0
UNIMONTE|Grupo New Space|Analista de operações|4.0|1641.0|1500.0|1000.0|2000.0
UNIMONTE|Banco do Brasil|Analista de operações|3.0|3765.0|4000.0|2000.0|6000.0
UNIMONTE|BrMalls|Analista de operações|3.0|3790.0|5000.0|4000.0|6000.0
UNIMONTE|Avaya|Analista de operações|3.0|6696.0|6500.0|5000.0|8000.0
UNIMONTE|Vivo (Telefônica Brasil)|Analista de operações|2.0|3093.0|3000.0|2000.0|4000.0
UNIMONTE|IBM|Analista de operações|2.0|5754.0|6000.0|4000.0|8000.0
UNIMONTE|Cargill|Analista de operações|2.0|3080.0|3000.0|3000.0|3000.0
UNIMONTE|Cielo|Analista de operações|2.0|4629.0|4500.0|3000.0|6000.0
UNIMONTE|S.Magalhães e Essemaga|Auxiliar de importação|1.0|1400.0|1000.0|1000.0|1000.0
UNIMONTE|Servimex|Auxiliar de importação|9.0|1880.0|2000.0|2000.0|2000.0
UNIMONTE|Brasiliense Comissária de Despacho|Auxiliar de importação|5.0|1579.0|1500.0|1000.0|2000.0
UNIMONTE|Tradeworks|Auxiliar de importação|5.0|1409.0|1000.0|1000.0|1000.0
UNIMONTE|Sankyu|Auxiliar de importação|4.0|1436.0|1500.0|1000.0|2000.0
UNIMONTE|Haidar Transportes|Auxiliar de importação|4.0|1388.0|1000.0|1000.0|1000.0
UNIMONTE|Cisa Trading|Auxiliar de importação|3.0|1936.0|2500.0|2000.0|3000.0
UNIMONTE|Hurmez Supply Chain Solutions|Auxiliar de importação|3.0|1559.0|2000.0|2000.0|2000.0
UNIMONTE|ZIM Integrated Shipping Services|Auxiliar de importação|3.0|1949.0|2000.0|2000.0|2000.0
UNIMONTE|Fiorde Logística Internacional|Auxiliar de importação|2.0|1563.0|1500.0|1000.0|2000.0
UNIMONTE|Brasiliense Comissária de Despacho|Auxiliar de importação|2.0|1349.0|1000.0|1000.0|1000.0
