ies|employer_name|position|salary_samples_amount|salary|avg_salary|min_salary|max_salary
USJT|B2W Digital|Assistente administrativo|63.0|1662.0|2000.0|1000.0|3000.0
USJT|Kroton Educacional|Assistente administrativo|62.0|1736.0|1500.0|1000.0|2000.0
USJT|Carrefour|Assistente administrativo|50.0|1618.0|2500.0|1000.0|4000.0
USJT|IBM|Assistente administrativo|47.0|2312.0|2500.0|1000.0|4000.0
USJT|Raia Drogasil|Assistente administrativo|47.0|2144.0|1500.0|1000.0|2000.0
USJT|UnitedHealth Group|Assistente administrativo|40.0|1874.0|2000.0|2000.0|2000.0
USJT|Itaú Unibanco (Itaú BBA e Rede)|Assistente administrativo|39.0|2429.0|3000.0|1000.0|5000.0
USJT|Claro|Assistente administrativo|38.0|1968.0|2500.0|2000.0|3000.0
USJT|GPA (Brazil)|Assistente administrativo|37.0|2105.0|2500.0|2000.0|3000.0
USJT|Heineken|Assistente administrativo|37.0|2552.0|2500.0|2000.0|3000.0
USJT|Banco Bradesco|Assistente administrativo|37.0|2164.0|2500.0|1000.0|4000.0
USJT|Cushman & Wakefield|Assistente administrativo|37.0|1822.0|2000.0|2000.0|2000.0
USJT|Nestlé|Assistente administrativo|35.0|3224.0|3000.0|2000.0|4000.0
USJT|Santander|Assistente administrativo|35.0|3568.0|3000.0|2000.0|4000.0
USJT|Unimed (Brazil)|Assistente administrativo|35.0|1953.0|2000.0|1000.0|3000.0
USJT|TOTVS|Assistente administrativo|33.0|1783.0|2000.0|1000.0|3000.0
USJT|Johnson & Johnson|Assistente administrativo|33.0|2693.0|3000.0|2000.0|4000.0
USJT|CIEE (Brazil)|Assistente administrativo|32.0|2257.0|2500.0|2000.0|3000.0
USJT|Via Varejo|Assistente administrativo|32.0|1959.0|2000.0|1000.0|3000.0
USJT|Porto Seguro Seguros|Assistente administrativo|30.0|2005.0|2500.0|2000.0|3000.0
USJT|SPDM|Auxiliar administrativo|122.0|2081.0|2000.0|1000.0|3000.0
USJT|Banco Bradesco|Auxiliar administrativo|86.0|1853.0|1929.0|858.0|3000.0
USJT|Rede D'Or São Luiz|Auxiliar administrativo|48.0|1608.0|2000.0|1000.0|3000.0
USJT|Unimed (Brazil)|Auxiliar administrativo|40.0|1723.0|1500.0|1000.0|2000.0
USJT|Ultragaz|Auxiliar administrativo|34.0|1701.0|1500.0|1000.0|2000.0
USJT|Porto Seguro Seguros|Auxiliar administrativo|33.0|1710.0|2000.0|1000.0|3000.0
USJT|Mackenzie University|Auxiliar administrativo|32.0|1928.0|2500.0|2000.0|3000.0
USJT|Seconci Hospital Estadual da Vila Alpina|Auxiliar administrativo|31.0|1895.0|1500.0|1000.0|2000.0
USJT|Irmandade da Santa Casa de Misericórdia de São Paulo|Auxiliar administrativo|31.0|1879.0|2500.0|2000.0|3000.0
USJT|Walmart|Auxiliar administrativo|29.0|1472.0|2500.0|1000.0|4000.0
USJT|UnitedHealth Group|Auxiliar administrativo|28.0|1516.0|1500.0|1000.0|2000.0
USJT|GPA (Brazil)|Auxiliar administrativo|28.0|1416.0|1500.0|1000.0|2000.0
USJT|Carrefour|Auxiliar administrativo|28.0|1512.0|1500.0|1000.0|2000.0
USJT|Manserv|Auxiliar administrativo|28.0|1559.0|1500.0|1000.0|2000.0
USJT|Ordem dos Advogados do Brasil São Paulo (OAB/SP)|Auxiliar administrativo|27.0|1512.0|1500.0|1000.0|2000.0
USJT|Via Varejo|Auxiliar administrativo|25.0|1674.0|2000.0|1000.0|3000.0
USJT|Tibério|Auxiliar administrativo|24.0|1588.0|1500.0|1000.0|2000.0
USJT|Pfizer|Auxiliar administrativo|23.0|3000.0|2500.0|2000.0|3000.0
USJT|Hospital Sírio-Libanês|Auxiliar administrativo|23.0|2056.0|2500.0|2000.0|3000.0
USJT|Grupo Júlio Simões Logística (JSL)|Auxiliar administrativo|22.0|1399.0|1500.0|1000.0|2000.0
USJT|Itaú Unibanco (Itaú BBA e Rede)|Estagiário|1710.0|2265.0|1847.0|695.0|3000.0
USJT|Banco Bradesco|Estagiário|488.0|2461.0|2000.0|1000.0|3000.0
USJT|Santander|Estagiário|474.0|2358.0|1940.0|881.0|3000.0
USJT|Itaú Unibanco (Itaú BBA e Rede)|Estagiário|445.0|2281.0|2434.0|869.0|4000.0
USJT|Tribunal de Justiça do Estado de São Paulo|Estagiário|276.0|780.0|1210.0|420.0|2000.0
USJT|IBM|Estagiário|241.0|1557.0|1406.0|812.0|2000.0
USJT|BASF|Estagiário|230.0|2130.0|2000.0|1000.0|3000.0
USJT|Sanofi|Estagiário|221.0|1770.0|1996.0|993.0|3000.0
USJT|Itaú Unibanco (Itaú BBA e Rede)|Estagiário|173.0|2262.0|2500.0|2000.0|3000.0
USJT|Nestlé|Estagiário|163.0|1636.0|1500.0|1000.0|2000.0
USJT|Citicapital Commercial Corp|Estagiário|161.0|2294.0|2500.0|2000.0|3000.0
USJT|Robert Bosch|Estagiário|155.0|1625.0|2000.0|1000.0|3000.0
USJT|Johnson & Johnson|Estagiário|152.0|2321.0|2000.0|1000.0|3000.0
USJT|B3|Estagiário|151.0|2159.0|2000.0|1000.0|3000.0
USJT|Bayer|Estagiário|144.0|1752.0|2500.0|2000.0|3000.0
USJT|Embraer|Estagiário|142.0|1565.0|1986.0|973.0|3000.0
USJT|Caixa Econômica Federal|Estagiário|136.0|677.0|1254.0|509.0|2000.0
USJT|Prefeitura de São Paulo|Estagiário|127.0|777.0|812.0|625.0|1000.0
USJT|Unilever|Estagiário|126.0|1621.0|1415.0|830.0|2000.0
USJT|Braskem|Estagiário|123.0|2035.0|2000.0|1000.0|3000.0
USJT|Universidade Paulista|Auxiliar de departamento pessoal|7.0|2305.0|3000.0|2000.0|4000.0
